adm3_name,very small,small,medium,large,very large,total,very small_pct,small_pct,medium_pct,large_pct,very large_pct
Amarapura,14856,28865,9826,2476,145,56168,0.2644922375729953,0.5139047144281441,0.17493946731234866,0.044082039595499216,0.0025815410910126763
Aungmyaythazan,10953,21039,11361,3404,163,46920,0.23343989769820972,0.4484015345268542,0.24213554987212277,0.07254901960784314,0.003473998294970162
Chanayethazan,3070,10871,9785,3130,117,26973,0.11381752122492864,0.40303266229192153,0.3627701775849924,0.11604196789381975,0.004337671004337671
Chanmyathazi,10006,22529,12897,3276,138,48846,0.20484788928469067,0.4612250747246448,0.26403390246898417,0.06706792777300086,0.0028252057486795232
Mahaaungmyay,6576,16114,11528,3207,115,37540,0.17517314864144912,0.4292488012786361,0.30708577517314867,0.0854288758657432,0.003063399041022909
Patheingyi,4207,8989,2759,534,41,16530,0.2545069570477919,0.5437991530550514,0.16690865093768906,0.032304900181488204,0.002480338777979431
Pyigyitagon,12225,25035,12144,3965,472,53841,0.227057446927063,0.4649802195352984,0.22555301721736223,0.07364276295016808,0.008766553370108282
